artist,genre,album,track,popularity,release_year,duration_ms,tempo,key,mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),53rd & 3rd - 40th Anniversary Mono Mix,22,1976,138733,135.6309967,9,1,0.409000009,0.941999972,0.477999985,0.067000002,0.0014,0.00319,0.090899996,0.913999975
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),Let's Dance - 40th Anniversary Mono Mix,22,1976,111133,183.423996,7,1,0.308999985,0.81400001,0.248999998,0.170000002,0.000233,2.78E-06,0.30399999,0.63499999
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),I Don't Wanna Walk Around with You - 40th Anniversary Mono Mix,20,1976,104920,180.3390045,2,1,0.279000014,0.925000012,0.289999992,0.061000001,0.00769,0.0385,0.175999999,0.625
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Today Your Love, Tomorrow the World - 40th Anniversary Mono Mix",21,1976,130267,180.6179962,0,1,0.136999995,0.986000001,-0.028999999,0.084799998,1.2E-05,0.076499999,0.120999999,0.180000007
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),Blitzkrieg Bop - Single Version,31,1976,132800,176.4779968,9,1,0.444999993,0.801999986,-1.411999941,0.187000006,0.000432,0.000591,0.188999996,0.859000027
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),Blitzkrieg Bop - Mono,35,1976,131840,176.447998,4,0,0.388000011,0.791999996,-0.959999979,0.138999999,5.12E-05,0.015,0.296999991,0.82099998
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),I Wanna Be Your Boyfriend,24,1976,145120,134.0899963,4,1,0.49000001,0.841000021,-2.621999979,0.029300001,0.00342,5.09E-05,0.202000007,0.704999983
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),I Wanna Be Your Boyfriend - Original Mono; 2016 Remaster,18,1976,147253,133.4230042,4,1,0.495999992,0.841000021,-2.204999924,0.0263,0.000194,0,0.140000001,0.759000003
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Today Your Love, Tomorrow the World - Uncensored Vocals",19,1976,132573,180.7910004,0,1,0.199000001,0.92900002,-3.085999966,0.072899997,0.000147,0.000252,0.159999996,0.430999994
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),I Don't Care - Demo; 2016 Remaster,19,1976,121733,119.5830002,10,0,0.723999977,0.809000015,-3.267999887,0.041900001,0.00857,8.95E-05,0.094899997,0.763999999
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),53rd & 3rd - Demo,18,1976,143440,130.3939972,7,1,0.639999986,0.964999974,-2.398999929,0.077699997,0.0104,0,0.203999996,0.485000014
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),Loudmouth - Demo,17,1976,136333,163.996994,2,1,0.234999999,0.987999976,-3.078000069,0.038800001,0.000356,0.26699999,0.163000003,0.615999997
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),Chain Saw - Demo,18,1976,121627,169.8419952,2,1,0.54400003,0.987999976,-2.390000105,0.054200001,0.084299996,0,0.108000003,0.947000027
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),You Should Have Never Opened That Door - Demo; 2016 Remaster,17,1976,104187,85.40599823,7,1,0.522000015,0.950999975,-2.328000069,0.028999999,0.00673,0.000257,0.115999997,0.896000028
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),I Wanna Be Your Boyfriend - Demo,18,1976,113880,127.6719971,0,1,0.616999984,0.842999995,-5.201000214,0.034499999,0.00231,0,0.060800001,0.561999977
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),I Don't Wanna Go Down to the Basement - 40th Anniversary Mono Mix,24,1976,157067,179.6309967,9,1,0.195999995,0.913999975,-0.458999991,0.065200001,1.11E-05,0.713999987,0.081200004,0.61500001
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Today Your Love, Tomorrow the World - Demo",16,1976,133347,170.4810028,7,1,0.330000013,0.966000021,-2.621999979,0.045000002,0.000461,0.0243,0.150999993,0.386999995
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),I Don't Wanna Walk Around with You - Demo,21,1976,115533,164.4149933,0,1,0.307999998,0.992999971,-2.785000086,0.056499999,0.00496,0.000402,0.098999999,0.573000014
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),Now I Wanna Sniff Some Glue - Demo; 2016 Remaster,18,1976,105187,167.6809998,0,1,0.370000005,0.907999992,-3.487999916,0.041299999,0.00534,0,0.0305,0.957000017
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),I Don't Wanna Be Learned / I Don't Wanna Be Tamed - Demo; 2016 Remaster,18,1976,77413,175.8439941,10,0,0.405999988,0.966000021,-4.420000076,0.112000003,0.000133,0.317000002,0.068700001,0.367000014
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),You're Gonna Kill That Girl - Demo,18,1976,171773,170.9259949,9,1,0.40200001,0.848999977,-3.292000055,0.0517,0.042300001,0,0.069300003,0.501999974
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),What's Your Name - Demo; 2016 Remaster,17,1976,177440,123.6350021,9,1,0.537999988,0.896000028,-2.298000097,0.033100002,0.00179,0.00136,0.291000009,0.287999988
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Loudmouth - Live at the Roxy, Hollywood, CA 8/12/76; Set 1; 2016 Remaster",16,1976,130067,180.9559937,4,1,0.270000011,0.952000022,-3.361999989,0.065399997,0.000691,0.264999986,0.806999981,0.574000001
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Beat on the Brat - Live at the Roxy, Hollywood, CA, 8/12/76; Set 1; 2016 Remaster",16,1976,156067,164.9830017,4,1,0.301999986,0.950999975,-2.200000048,0.052499998,0.028200001,0.518999994,0.906000018,0.65200001
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Blitzkrieg Bop - Live at the Roxy, Hollywood, CA, 8/12/76; Set 1; 2016 Remaster",15,1976,133547,184.8970032,9,1,0.31400001,0.954999983,-0.331,0.0491,0.00559,0.181999996,0.391000003,0.819999993
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"I Remember You - Live at the Roxy, Hollywood, CA 8/12/76; Set 1; 2016 Remaster",16,1976,137160,143.7290039,1,0,0.414999992,0.976999998,-1.047999978,0.041700002,0.120999999,0.046,0.32100001,0.768000007
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Glad to See You Go - Live at the Roxy, Hollywood, CA, 8/12/76; Set 1; 2016 Remaster",15,1976,123387,189.1970062,9,1,0.210999995,0.995999992,0.252999991,0.061099999,0.0385,8.68E-06,0.697000027,0.644999981
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Chain Saw - Live at the Roxy, Hollywood, CA, 8/12/76; Set 1; 2016 Remaster",14,1976,111480,188.647995,4,1,0.291000009,0.998000026,0.416000009,0.074500002,0.411000013,0.0436,0.959999979,0.381000012
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"53rd & 3rd - Live at the Roxy, Hollywood, CA, 8/12/76; Set 1; 2016 Remaster",13,1976,147907,142.0010071,9,1,0.398999989,0.985000014,-0.286000013,0.094899997,0.34799999,0.036699999,0.952000022,0.381000012
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"I Wanna Be Your Boyfriend - Live at the Roxy, Hollywood, CA 8/12/76; Set 1; 2016 Remaster",14,1976,142693,140.3029938,4,1,0.374000013,0.949000001,-1.513000011,0.049899999,0.119000003,0.00101,0.574000001,0.469999999
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Havana Affair - Live at the Roxy, Hollywood, CA 8/12/76; Set 1; 2016 Remaster",15,1976,115120,187.845993,11,0,0.252000004,0.995000005,0.60799998,0.057500001,0.090999998,0.745000005,0.611000001,0.446999997
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Listen to My Heart - Live at the Roxy, Hollywood, CA, 8/12/76; Set 1; 2016 Remaster",13,1976,105947,189.6660004,9,1,0.136999995,0.99000001,0.856999993,0.054099999,0.0277,0.00208,0.493999988,0.699999988
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"California Sun - Live at the Roxy, Hollywood, CA, 8/12/76; Set 1; 2016 Remaster",16,1976,118507,195.5079956,4,1,0.25,0.994000018,-0.319999993,0.119999997,0.00839,0.134000003,0.293000013,0.361999989
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Judy Is a Punk - Live at the Roxy, Hollywood, CA 8/12/76; Set 1; 2016 Remaster",15,1976,83267,193.6799927,3,1,0.238000005,0.995000005,0.657000005,0.051800001,0.014,0.046300001,0.333999991,0.529999971
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"I Don't Wanna Walk Around with You - Live at the Roxy, Hollywood, CA, 8/12/76; Set 1; 2016 Remaster",13,1976,91933,98.62200165,2,1,0.400999993,0.996999979,0.713,0.041200001,0.0101,0.792999983,0.648000002,0.474000007
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Today Your Love, Tomorrow the World - Live at the Roxy, Hollywood, CA 8/12/76; Set 1; 2016 Remaster",14,1976,129280,194.3029938,9,1,0.107000001,0.998000026,1.062000036,0.085500002,0.00992,0.640999973,0.922999978,0.120999999
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Now I Wanna Sniff Some Glue - Live at the Roxy, Hollywood, CA 8/12/76; Set 1; 2016 Remaster",14,1976,88333,95.80400085,11,0,0.338999987,0.97299999,-0.456999987,0.0381,0.0352,5.71E-05,0.490999997,0.787
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Let's Dance - Live at the Roxy, Hollywood, CA 8/11/76; 2016 Remaster",14,1976,129307,198.9199982,7,1,0.307000011,0.98299998,-1.730999947,0.104000002,0.032499999,0.326999992,0.70599997,0.273999989
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Loudmouth - Live at the Roxy, Hollywood, CA 8/12/76; Set 2",14,1976,128453,180.7230072,4,1,0.308999985,0.986999989,-3.644999981,0.169,0.000539,0.449000001,0.726999998,0.503000021
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Beat on the Brat - Live at the Roxy, Hollywood, CA, 8/12/76; Set 2",14,1976,155147,165.3569946,4,1,0.319000006,0.986999989,-3.065000057,0.096299998,0.024,0.547999978,0.702000022,0.632000029
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Blitzkrieg Bop - Live at the Roxy, Hollywood, CA, 8/12/76; Set 2",14,1976,134027,185.5240021,9,1,0.231999993,0.967999995,-3.148999929,0.151999995,0.00469,0.037799999,0.55400002,0.643999994
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"I Remember You - Live at the Roxy, Hollywood, CA 8/12/76; Set 2",13,1976,134520,145.2749939,11,1,0.381000012,0.990999997,-3.437000036,0.043900002,0.039099999,0.107000001,0.347000003,0.658999979
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Glad to See You Go - Live at the Roxy, Hollywood, CA, 8/12/76; Set 2",13,1976,124720,191.1109924,9,1,0.238999993,0.992999971,-2.767999887,0.086999997,0.0032,0.0132,0.677999973,0.488999993
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Chain Saw - Live at the Roxy, Hollywood, CA, 8/12/76; Set 2",12,1976,108333,189.9940033,9,1,0.312000006,0.995000005,-2.40899992,0.092200004,0.0491,0.000288,0.725000024,0.488000005
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"53rd & 3rd - Live at the Roxy, Hollywood, CA, 8/12/76; Set 2",18,1976,138227,142.8540039,9,1,0.444000006,0.991999984,-2.532999992,0.108999997,0.029899999,0.023800001,0.963999987,0.552999973
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"I Wanna Be Your Boyfriend - Live at the Roxy, Hollywood, CA 8/12/76; Set 2",12,1976,145760,140.4810028,4,1,0.388000011,0.947000027,-3.411000013,0.0579,0.00148,0.021400001,0.73299998,0.379000008
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Havana Affair - Live at the Roxy, Hollywood, CA 8/12/76; Set 2",13,1976,114600,188.0509949,6,0,0.368000001,0.987999976,-2.535000086,0.108000003,0.028000001,0.0165,0.661000013,0.561999977
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"Listen to My Heart - Live at the Roxy, Hollywood, CA, 8/12/76; Set 2",12,1976,105653,190.852005,9,1,0.226999998,0.994000018,-2.323999882,0.089100003,0.0128,0,0.439999998,0.174999997
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),"California Sun - Live at the Roxy, Hollywood, CA 8/12/76; Set 2",13,1976,118587,196.8950043,9,1,0.333999991,0.994000018,-2.775000095,0.141000003,0.00774,0.00238,0.277999997,0.254000008
